Id,Name (in Greek),Name (in English),Ingredients for child (in Greek),Ingredients for child (in English),Ingredients for adult (in Greek),Ingredients for adult (in English),Recipe (in Greek),Recipe (in English),Tip (in Greek),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses,Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,,,,,,,,,,,,,,
10,Μουσακάς,Greek Moussaka,,,"Πατάτες,3,τμχ;
Ελαιόλαδο,8,κσ;
Κρεμμύδι,2,τμχ
Κολοκυθάκια,2,τμχ;
Μελιτζάνες,2,τμχ;
Σκόρδο,1,τμχ;
Ζάχαρη,3,πρέζα;
Κιμάς Μοσχαρίσιος,500,γρ","Potatoes,3,pcs;
Olive Oil,8,ts;
Onions,2,pc
Zucchinis,2,pc;
Eggplants,2,pc;
Garlic,1,pc;
Sugar,3,pinches;
Ground Beef,500,g","Προθερμαίνουμε τον φούρνο στους 200°C στον αέρα.
Βάζουμε ένα τηγάνι σε δυνατή φωτιά.
Κόβουμε τις πατάτες σε ροδέλες 1 εκ. και τις ψήνουμε στο τηγάνι μαζί με 2-3 κ.σ. ελαιόλαδο, μέχρι να πάρουν καλό χρώμα και από τις δύο πλευρές (και να σπάσουν δεν πειράζει).
Σε ένα ταψί 25x30 εκ. με ελάχιστο ελαιόλαδο στρώνουμε τις πατάτες (1η στρώση), ρίχνουμε θυμάρι και αλατοπιπερώνουμε.
Κόβουμε το κρεμμύδι σε λεπτές φέτες και το ρίχνουμε στο ίδιο τηγάνι μαζί με λίγο ελαιόλαδο. Σοτάρουμε το κρεμμύδι μέχρι να καραμελώσει και το βάζουμε στο ταψί πάνω από τις πατάτες.
Κόβουμε τα κολοκύθακια σε ροδέλες και τα ρίχνουμε στο ίδιο τηγάνι μαζί με λίγο ελαιόλαδο. Περιμένουμε μέχρι να πάρουν λίγο χρώμα και τα στρώνουμε πάνω στις πατάτες (2η στρώση), ρίχνουμε θυμάρι και αλατοπιπερώνουμε.
Κόβουμε τις μελιτζάνες σε ροδέλες και τις ρίχνουμε στο ίδιο τηγάνι μαζί με λίγο ελαιόλαδο. Περιμένουμε μέχρι να πάρουν λίγο χρώμα και τις στρώνουμε πάνω από τα κολοκύθια (3η στρώση), ρίχνουμε θυμάρι και αλατοπιπερώνουμε.
Χοντροκόβουμε το κρεμμύδι και το ρίχνουμε στο ίδιο τηγάνι που χρησιμοποιήσαμε για τα λαχανικά μαζί με λίγο ελαιόλαδο σε δυνατή φωτιά.
Ψιλοκόβουμε το σκόρδο και το ρίχνουμε μέσα στο τηγάνι.
Προσθέτουμε τη ζάχαρη, το μοσχοκάρυδο, την κανέλα, τον πελτέ και ανακατεύουμε με μία ξύλινη κουτάλα. Σε αυτό το σημείο ξύνουμε με την κουτάλα τον πάτο του τηγανιού για να ανακατευτεί καλά ο πελτές, να πάρει χρώμα και να φύγει η πικρή του γεύση.
Προσθέτουμε τον κιμά στο τηγάνι και ανακατεύουμε πολύ καλά μέχρι να καραμελώσει και να πάρει ωραίο χρώμα.
Σβήνουμε με την τομάτα κονκασέ, ανακατεύουμε καλά και αφήνουμε να δέσει σε χαμηλή φωτιά για 10-15 λεπτά. Ανακατεύουμε ανά τακτά χρονικά διαστήματα.
Λίγο πριν αφαιρέσουμε από τη φωτιά, αλατοπιπερώνουμε.
Βάζουμε ένα κατσαρολάκι σε χαμηλή φωτιά.
Προσθέτουμε το βούτυρο. Μόλις λιώσει ρίχνουμε το αλεύρι και ανακατεύουμε με το σύρμα.
Προσθέτουμε το γάλα, σταδιακά σε δόσεις. Είναι πολύ σημαντικό να ρίχνουμε το γάλα σε μικρές δόσεις. Μόλις απορροφηθεί η πρώτη (να μην έχει γρομπαλάκια), τότε ρίχνουμε την επόμενη δόση. Ανακατεύουμε συνεχώς έτσι ώστε να μη μας σβολιάσει το μείγμα. Κάνουμε αυτή τη διαδικασία μέχρι να απορροφηθεί τελείως το γάλα.
Μόλις η μπεσαμέλ αρχίσει να βγάζει φουσκάλες, είναι έτοιμη. Θα πρέπει να είναι κρεμώδης και λεία.
Αφαιρούμε από τη φωτιά και προσθέτουμε μέσα τριμμένο πιπέρι, τριμμένο μοσχοκάρυδο, λίγη παρμεζάνα, τους κρόκους από τα αυγά και ανακατεύουμε καλά.
","Place a deep pan over high heat. Add the sunflower oil and let it get hot.
Peel the potatoes and slice them into thin rounds.
Slice the eggplants and zucchini into thin rounds and fry in a separate pan for 5-10 minutes.
Remove with a slotted spoon and transfer to a baking pan lined with paper towels. Allow to drain from excess oil.
Place a pot over high heat and add the olive oil.
Coarsely chop the onion and add to pan.
Finely chop the garlic and add to pan along with thyme, cloves, cinnamon and sugar. Sauté for 2-3 minutes until they caramelize nicely.
Add the ground meat and break it up with a wooden spoon. Sauté until golden brown.
Add the tomato paste and sauté so that it loses its bitterness.
Add the chopped tomatoes, lower heat and simmer for 5-10 minutes until the sauce thickens.
Remove from heat and add the parsley and coarsely chopped basil. Season with salt and pepper.
Place a pot over medium heat.
Add the butter and let it melt.
Add the flour and whisk until it soaks up all of the butter.
Add the milk in small batches while continuously whisking so that no lumps form.
As soon as the béchamel sauce thickens and bubbles start to form on the surface, remove from heat.
Add the nutmeg, salt, pepper, 100 g parmesan and 3 egg yolks. Whisk thoroughly.
Preheat oven to 180* C (350* F) Fan.
In a 25x32 cm baking pan, spread a layer of potatoes, cover with a layer of eggplants and top with a layer of zucchini. Season in between layers.
Add 2-3 tablespoons of béchamel sauce to the ground meat mixture and mix. Spread the ground meat over the vegetables.
Cover with the béchamel sauce, spreading it evenly and sprinkle with 50 g of grated parmesan.
Bake for 35-40 minutes.
When ready, remove from oven and allow to cool.
Serve with fresh herbs and olive oil.
",,,465,20,30,25,first,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,
11,Χωριάτικη Σαλάτα,Greek salad,,,"Ντομάτες,2,τμχ;
Μέλι,1,κσ;
Αγγούρι,1,τμχ;
Πιπεριά,1/2,τμχ;
Κρεμμύδι,1/2,τμχ;
Ελιές,50,γρ;
Φέτα,150,γρ;
Ελαιόλαδο,4,κσ;","Tomatos,2,pc;
Honey,1,ts;
 Cucumber,1,pc; 
Pepper,1/2,pc; 
Onion,1/2,pc; 
Olives,50,g;
Feta cheese,150,g;
Olive oil,4,ts;","Κόβουμε τις ντομάτες στην μέση και αφαιρούμε το κοτσάνι. Τις κόβουμε σε μικρά κομμάτια και τα βάζουμε σε ένα μπολ. Βάζουμε αλάτι και αφήνουμε στην άκρη.
Στο άλλο μπολ βάζουμε το μέλι, 2 κ.σ. ξίδι και ανακατεύουμε να λιώσει το μέλι. Μεταφέρουμε στο μπολ με τη ντομάτα και ανακατεύουμε. Αφήνουμε στην άκρη.
Ξεφλουδίζουμε και κόβουμε το αγγούρι σε μισοφέγγαρα. Το βάζουμε στο μπολ με τη ντομάτα και αφήνουμε στην άκρη. Το αγγούρι μπορούμε να το αφήσουμε και με τη φλούδα.
Κόβουμε την πιπεριά σε μικρές λωρίδες και τις βάζουμε στο μπολ με τα υπόλοιπα υλικά.
Κόβουμε σε πολύ λεπτές φέτες το κρεμμύδι και το βάζουμε σε ένα μπολ. Προσθέτουμε 1 κ.σ. ξίδι και ανακατεύουμε. Μεταφέρουμε στο μπολ με τα υπόλοιπα υλικά.
Προσθέτουμε την κάππαρη, τις ελιές, τη φέτα, πιπέρι, τη ρίγανη, το ελαιόλαδο και σερβίρουμε με το ψωμί.
","In a bowl, add 4-5 tablespoons of extra virgin olive oil, the vinegar, honey, salt, pepper and 1 tablespoon oregano. Gently stir with a spoon just to combine, you don’t want to emulsify the dressing.
Chop the cherry tomatoes in half and add to the bowl.
Thinly slice the cucumber into half-moon shapes and thinly slice the onion. Add to the bowl.
Cut the green pepper into thin strips and add to the bowl.
Add the olives, capers, feta and 1 tablespoon oregano.
To finish, drizzle with 2-3 tablespoons extra virgin olive oil, top with rusks and serve.
",,,184,4.8,15,6.6,second,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,
12,Τσιπούρα στον φούρνο,Baked sea bream,,,"Τσιπούρες,800.γρ;
Ελαιόλαδο,3,κς;
Δεντρολίβανο,2,κλ;
Φέτες λεμόνι,1,λεμόνι;
Νερό,500,γρ;
Χυμό λεμονιού,1, λεμόνι;
Μουστάρδα,30,γρ;
Ελαιόλαδο,80,γρ;","Seabreams, 800g;
Olive oil, 3 tbsp;
Rosemary, 2 sprigs;
Lemon slices, 1 lemon;
Water, 500ml;
Lemon juice, 1 lemon;
Mustard, 30g;
Olive oil, 80ml.","Προθερμαίνουμε τον φούρνο στους 200°C στον αέρα.
Παίρνουμε ένα ταψί με σχάρα και αλείφουμε τη σχάρα με 1 κ.σ. ελαιόλαδο, για να μην κολλήσουν οι τσιπούρες.
Ρίχνουμε στο ταψί το νερό και το αφήνουμε στην άκρη. Αυτό το νερό θα το χρησιμοποιήσουμε για το λαδολέμονο.
Ανοίγουμε τις τσιπούρες στη μέση και βάζουμε μέσα σε αυτές το αλάτι, το πιπέρι, 1 κ.σ. ελαιόλαδο, το δεντρολίβανο και τις φέτες λεμονιού, και κλείνουμε τις τσιπούρες.
Πασπαλίζουμε με το αλάτι και 1 κ.σ. ελαιόλαδο το εξωτερικό από τις τσιπούρες, και τις ακουμπάμε στη σχάρα πάνω από το ταψί.
Μεταφέρουμε το ταψί στον φούρνο και ψήνουμε για 20 λεπτά.
Αφαιρούμε το ταψί από τον φούρνο.
Μεταφέρουμε το ζουμί από το ταψί στον πολυκόφτη, προσθέτουμε τον χυμό από το λεμόνι, τη μουστάρδα, το αλάτι, το πιπέρι και το ελαιόλαδο, και χτυπάμε καλά.
Αφαιρούμε τα λεμόνια και το δεντρολίβανο από τις τσιπούρες.
Σερβίρουμε με το λαδολέμονο, τα χόρτα, τα κολοκυθάκια και τις φέτες λεμονιού.
","Preheat the oven to 200°C (390° F) set to fan.
Take a baking pan with a rack and grease the rack with 1 tablespoon of olive oil, so that the sea breams do not stick to it.
Add the water to the pan and set it aside. You will use this water for the olive oil-lemon dressing.
Open the sea breams in half and add some salt and pepper inside, along with 1 tablespoon of olive oil, the rosemary, and the lemon slices, and then close them well.
Spread some salt and 1 tablespoon of olive oil on the skin of the sea breams and transfer them to the rack that is on the baking pan.
Transfer the pan to the oven and bake the sea breams for 20 minutes.
Remove the pan from the oven.
Transfer the juices from the pan to a chopper blender, add the lemon juice, mustard, salt, pepper, and olive oil, and beat them well.
Remove the lemon slices and the rosemary from the sea breams and serve them with the olive oil-lemon dressing, boiled greens and zucchini, and some lemon slices.",,,313,37,18,0,first,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
13,Μία κούπα Γάλα (3.5% λιπαρά),A cup of Milk (3.5% fats),,,"Γάλα,1,κουπα;","Milk,1,cup;",,,,,152,8.14,8,12,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
14,Κέικ βανίλιας ,Vanilla cake,,,"Βούτυρο,250,γρ;
Ζάχαρη,250,γρ;
Αυγά,4,τμχ;
Ξύσμα λεμονιού,10,γρ;
Γιαούρτι στραγγιστό,150,γρ; 
Εκχύλισμα βανίλιας,3,γρ;
Αλεύρι,350,γρ;","Butter, 250, g;
Sugar, 250, g;
Eggs, 4, pcs;
Lemon zest, 10, g;
Strained Yogurt, 150 ,g;
Vanilla extract, 3, g;
Flour, 350, g;","Προθερμαίνουμε τον φούρνο στους 160°C στον αέρα. 
Ρίχνουμε στον κάδο του μίξερ το βούτυρο και τη ζάχαρη, και χτυπάμε με το φτερό ή το σύρμα σε δυνατή ταχύτητα μέχρι να αφρατέψει και να ασπρίσει το μείγμα. Ενδιάμεσα σταματάμε το μίξερ, παίρνουμε με μια σπάτουλα σιλικόνης ό,τι έχει μείνει στα τοιχώματα του κάδου, και ξαναχτυπάμε.
Χαμηλώνουμε την ταχύτητα και προσθέτουμε ένα-ένα τα αυγά. Περιμένουμε να απορροφηθεί το πρώτο πριν ρίξουμε το επόμενο.
Αφαιρούμε τον κάδο από το μίξερ, προσθέτουμε το ξύσμα λεμονιού, το γιαούρτι, το εκχύλισμα βανίλιας και το αλεύρι, και ανακατεύουμε με μια ξύλινη κουτάλα μέχρι να ομογενοποιηθούν τα υλικά.
Βουτυρώνουμε και αλευρώνουμε μία στρογγυλή φόρμα για κέικ με τρύπα στη μέση διαμέτρου 23 εκ.
Μεταφέρουμε το μείγμα στη φόρμα και το απλώνουμε ομοιόμορφα με μια κουτάλα.
Μεταφέρουμε τη φόρμα στον φούρνο και ψήνουμε για 1 ώρα. Μπορούμε να δούμε αν το κέικ έχει ψηθεί, τρυπώντας το με μια οδοντογλυφίδα, και αν αυτή βγει καθαρή το κέικ είναι έτοιμο. 
Αφαιρούμε το κέικ από τον φούρνο και το αφήνουμε να κρυώσει 5-10 λεπτά πριν το ξεφορμάρουμε.
Ξεφορμάρουμε το κέικ και το αφήνουμε πάνω σε μια σχάρα για 30-60 λεπτά μέχρι να κρυώσει εντελώς.
Πασπαλίζουμε με ζάχαρη άχνη, κόβουμε σε κομμάτια και σερβίρουμε. ",,,,423,6.9,20,53,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
15,Πανκεικς με βρόμη και μπανάνα,Banana oat pancakes,,,,,,,,,101,3.2,3.9,13,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
16,Μακαρονοσαλάτα με λαχανικά,Pasta salad with vegetables,,,"Ζυμαρικά,400,g;
Αρακάς,200,γρ;
Γιαούρτι,350,γρ;
Κέτσαπ,50,γρ;
Ελιές σε ροδέλες,30 γρ; 
λιαστές ντομάτες,30,γρ;
καρότο,1,τμχ;
Χυμό λεμονιού,10,γρ;","Pasta, 400, g;
Green beans, 200, g;
Yogurt, 350, g;
Ketchup, 50, g;
Sliced olives, 30, g;
Sun-dried tomatoes, 30, g;
Carrot, 1, pcs;
Lemon juice, 10, g;","Τοποθετούμε μια κατσαρόλα με αλατισμένο νερό να βράσει. 
Ρίχνουμε τα ζυμαρικά και βράζουμε σύμφωνα με τις οδηγίες της συσκευασίας. Στα τελευταία 5 λεπτά προσθέτουμε τον αρακά. 
Αποσύρουμε την κατσαρόλα από τη φωτιά και σουρώνουμε τα ζυμαρικά με τον αρακά. 
Μεταφέρουμε το σουρωτήρι κάτω από κρύο τρεχούμενο νερό και ρίχνουμε αρκετό πάνω από τα ζυμαρικά και τον αρακά, ώστε να σταματήσουμε τον βρασμό τους για να μην είναι ζεστά όταν θα ρίξουμε τη σάλτσα. 
Στραγγίζουμε καλά το νερό και αφήνουμε στην άκρη. ίχνουμε σε ένα μπολ το γιαούρτι και την κέτσαπ, και ανακατεύουμε με ένα κουτάλι. Προσθέτουμε τις ελιές. Ψιλοκόβουμε σε ένα ξύλο κοπής τις λιαστές ντομάτες και τις προσθέτουμε στο μπολ.
Τρίβουμε το καρότο στη μεγάλη πλευρά του τρίφτη με τις χοντρές λεπίδες, το προσθέτουμε στο μπολ και ανακατεύουμε. Μεταφέρουμε τα ζυμαρικά με τον αρακά στο μπολ με τη σάλτσα.
Προσθέτουμε το αλάτι, το πιπέρι, το ξύσμα και τον χυμό λεμονιού, και ανακατεύουμε καλά με ένα κουτάλι.
Πασπαλίζουμε με φρέσκια ρίγανη και σερβίρουμε. ",,,,297,14,2.7,48,first,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,
17,Μπάρα δημητριακών,Tahini granola bar,,,"Ταχίνι,450,γρ; 
Μέλι,100,γρ;
Κουβερτούρα,200,γρ; 
Ξηροί Καρποί,150,γρ;
Δημητριακά ολικής,150,γρ;
Βρόμη,200,γρ; 
Αποξηραμένα cranberries,80,γρ;","Tahini,450,g;
Honey,100,g;
Chocolate couverture,200,g; 
Nuts,150,g;
Whole-Grain cereals,150,g;
Oats,200,g; 
Dried cranberries,80,g;","Ζεσταίνουμε το μέλι σε ένα μπολ στον φούρνο μικροκυμάτων για 30 δευτερόλεπτα στα 800 watt.
Ανακατεύουμε το ταχίνι με το μέλι σε ένα μεγάλο μπολ. Προσέχουμε να μην το ανακατέψουμε πολύ για να μη σφίξει πολύ το μείγμα.
Λιώνουμε τη σοκολάτα σε ένα μπολ καλυμμένο με διαφανή μεμβράνη στον φούρνο μικροκυμάτων στα 800 watt για 2 λεπτά ή σε μπεν μαρί.
Ανακατεύουμε τη σοκολάτα στο μείγμα ταχινιού-μελιού.
Προσθέτουμε τη βρόμη, τους ξηρούς καρπούς, τα cranberries, και ανακατεύουμε καλά με μια μαρίζ.
Ρίχνουμε τα δημητριακά και ανακατεύουμε με το χέρι.
Τοποθετούμε ένα μεγάλο κομμάτι διαφανής μεμβράνης πάνω σε ένα ταψί 20x30 εκ. 
Απλώνουμε το μείγμα πάνω από τη μεμβράνη, πασπαλίζουμε με λίγα ακόμα δημητριακά και καλύπτουμε με τη μεμβράνη που προεξέχει. 
Μεταφέρουμε το ταψί στο ψυγείο να σφίξει για περίπου 3-4 ώρες.
Αφαιρούμε το ταψί από το ψυγείο και κόβουμε σε περίπου 20 ισομερείς μπάρες.
Σερβίρουμε.
","Heat the honey in the microwave for 30 seconds.
Combine the tahini and honey together in a large bowl. Be careful not to overmix because it will make the mixture too thick.
Put the chocolate in a bowl. Cover with plastic wrap and melt in the microwave for 2 minutes, set at 800 watts. (Or you can melt it in a bain marie.)
Add the melted chocolate to the tahini-honey mixture and mix.
Add the oats, mixed nuts and cranberries. Mix with a spatula. Add the cereal and continue to mix by hand.
Spread a very large piece of plastic wrap over a 20x30 cm baking pan, letting it hang over the edges. Spread the mixture over the wrap and sprinkle some more cereal over the top. Cover with overhanging plastic wrap.
Refrigerate for 3-4 hours, until firm.
To serve, cut into 20 equal sized bars, each 5 cm thick.
",,,352,10,22,26,morning_snack,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
18,Μήλο ,Apple,,,"Μήλο,1,τμχ;","Apple,1,pc;",,,,,95,1,0,25,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
19,Πόριτζ,Porridge,,,"Βρόμη,140,g;
Γάλα,600,γρ;
Εκχύλισμα βανίλιας,1,κγ;
Μέλι,2,κσ;
Κανέλα,1,κγ;
Τζιντζερ,1/3,κγ;","Oats, 140, g;
Milk, 600, g;
Vanilla extract, 1, kg;
Honey, 2, ks?
Cinnamon, 1 kg;
Ginger, 1/3, kg;","Τοποθετούμε μια κατσαρόλα σε χαμηλή φωτιά. Βάζουμε τη βρόμη, το μισό γάλα και ανακατεύουμε συνέχεια μέχρι να απορροφηθεί το γάλα. Προσθέτουμε το υπόλοιπο γάλα σε δόσεις και ανακατεύουμε συνέχεια. Βάζουμε αλάτι, τη βανίλια και ανακατεύουμε 4-6 λεπτά μέχρι να μαλακώσει καλά η βρόμη. Αφαιρούμε από τη φωτιά, προσθέτουμε το μέλι, την κανέλα, το τζίντζερ και ανακατεύουμε. Βάζουμε σε πιάτο και σερβίρουμε με φρούτα της αρεσκείας μας, μέλι και δυόσμο.","Place a saucepan over low heat. Add the oats, half the milk and stir continuously until the milk is absorbed. Add the rest of the milk in portions and mix continuously. Add salt, vanilla and mix for 4-6 minutes until the oats are well softened. Remove from heat, add honey, cinnamon, ginger and mix. Place on a plate and serve with fruit of your choice, honey and mint.",,,267,9.1,8.2,38,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
20,Μπανάνα,Banana ,,,"Μπανάνα,1,τμχ;","Banana,1,pc;",,,,,105,1.3,0.4,27,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
